Timestamp,Model Name,Task Name,User Answer Index,Success Rate (%),Error Status,Unmatched Lines,Log File Path
,llama3.1,remote_control,1,0.0000,Error,"['/Actuator/CleaningRobot/LivingRoom/1 || /Actuator/CleaningRobot/Bedroom/1', 'Cleaning Robot /Actuator/CleaningRobot/LivingRoom/1 Starts Daily Cleaning Routine || Cleaning Robot /Actuator/CleaningRobot/Bedroom/1 Starts Daily Cleaning Routine', '/Actuator/MusicPlayer/LivingRoom/1 || /Actuator/MusicPlayer/Bedroom/1', '/Actuator/SmartTV/LivingRoom/1', 'Set /Actuator/Light/Bedroom/1 light brightness level to || Set /Actuator/Light/Bedroom/2 light brightness level to']",/Users/minghe/llm4faas/experiments_default/functions_zh/llama31_functions/llama3.1_remote_control_1.log
,llama3.1,remote_control,19,0.0000,Error,"['/Actuator/AC/LivingRoom/1 is turned on.', 'Set the target temperature of /Actuator/AC/LivingRoom/1 to 26°C.']",/Users/minghe/llm4faas/experiments_default/functions_zh/llama31_functions/llama3.1_remote_control_19.log
,llama3.1,remote_control,25,0.0000,Error,"['/Actuator/Light/LivingRoom/1 is turned off.', '/Actuator/Light/LivingRoom/2 is turned off.', 'Set /Actuator/Light/Bedroom/1 light brightness level to LOW', 'Set /Actuator/Light/Bedroom/2 light brightness level to LOW', '/Actuator/Window/Kitchen/1 is turned on.']",/Users/minghe/llm4faas/experiments_default/functions_zh/llama31_functions/llama3.1_remote_control_25.log
,llama3.1,remote_control,24,0.0000,Error,"['/Actuator/Light/Bedroom/1 is turned off.', '/Actuator/Light/Bedroom/2 is turned off.']",/Users/minghe/llm4faas/experiments_default/functions_zh/llama31_functions/llama3.1_remote_control_24.log
,llama3.1,remote_control,18,0.0000,Error,['/Actuator/Light/LivingRoom/1 is turned on. || /Actuator/Light/LivingRoom/2 is turned on. || /Actuator/Light/Bedroom/1 is turned on. || /Actuator/Light/Bedroom/2 is turned on. || /Actuator/Light/Kitchen/1 is turned on. || /Actuator/Light/Bathroom/1 is turned on.'],/Users/minghe/llm4faas/experiments_default/functions_zh/llama31_functions/llama3.1_remote_control_18.log
,llama3.1,remote_control,2,0.0000,Error,"['Set /Actuator/Light/LivingRoom/1 light brightness level to HIGH || Set /Actuator/Light/LivingRoom/2 light brightness level to HIGH', 'Set /Actuator/Light/Bedroom/1 light brightness level to LOW || Set /Actuator/Light/Bedroom/2 light brightness level to LOW', '/Actuator/Window/Kitchen/1 is turned on.', '/Actuator/MusicPlayer/LivingRoom/1 start playing']",/Users/minghe/llm4faas/experiments_default/functions_zh/llama31_functions/llama3.1_remote_control_2.log
,llama3.1,remote_control,26,0.0000,Error,['Set /Actuator/Light/LivingRoom/1 light brightness level to || Set /Actuator/Light/LivingRoom/2 light brightness level to || Set /Actuator/Light/Bedroom/1 light brightness level to || Set /Actuator/Light/Bedroom/2 light brightness level to || Set /Actuator/Light/Kitchen/1 light brightness level to || Set /Actuator/Light/Bathroom/1 light brightness level to'],/Users/minghe/llm4faas/experiments_default/functions_zh/llama31_functions/llama3.1_remote_control_26.log
,llama3.1,remote_control,3,0.0000,Error,"['/Actuator/Light/LivingRoom/1 is turned off.', '/Actuator/Light/LivingRoom/2 is turned off.']",/Users/minghe/llm4faas/experiments_default/functions_zh/llama31_functions/llama3.1_remote_control_3.log
,llama3.1,remote_control,7,0.0000,Error,['Set /Actuator/Light/Bedroom/1 light brightness level to LOW || Set /Actuator/Light/Bedroom/2 light brightness level to LOW'],/Users/minghe/llm4faas/experiments_default/functions_zh/llama31_functions/llama3.1_remote_control_7.log
,llama3.1,remote_control,23,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/llama31_functions/llama3.1_remote_control_23.log
