Timestamp,Model Name,Task Name,User Answer Index,Success Rate (%),Error Status,Unmatched Lines,Log File Path
,openai_gpt-4o,plan,23,0.9286,No Error & Warning,['/Sensor/LightIntensive/LivingRoom/1 reading is:'],/Users/minghe/llm4faas/experiments_default/functions_en/gpt-4o_en_functions/plans/openai_gpt-4o_plan_23.log
,openai_gpt-4o,plan,22,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/gpt-4o_en_functions/plans/openai_gpt-4o_plan_22.log
,openai_gpt-4o,plan,20,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/gpt-4o_en_functions/plans/openai_gpt-4o_plan_20.log
,openai_gpt-4o,plan,8,0.0000,Invalid Prompt,,/Users/minghe/llm4faas/experiments_default/functions_en/gpt-4o_en_functions/plans/openai_gpt-4o_plan_8.log
,openai_gpt-4o,plan,9,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/gpt-4o_en_functions/plans/openai_gpt-4o_plan_9.log
,openai_gpt-4o,plan,21,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/gpt-4o_en_functions/plans/openai_gpt-4o_plan_21.log
,openai_gpt-4o,plan,19,0.4444,No Error & Warning,"['/Actuator/Light/LivingRoom/1 is turned off.', '/Actuator/Light/Bedroom/1 is turned off.', '/Actuator/Light/Bedroom/2 is turned off.', '/Actuator/Light/Kitchen/1 is turned off.', '/Actuator/Light/Bathroom/1 is turned off.', '/Actuator/MusicPlayer/LivingRoom/1 is turned off.', '/Actuator/MusicPlayer/Bedroom/1 is turned off.', '/Actuator/Heater/LivingRoom/1 is turned off.', '/Actuator/Heater/Bedroom/1 is turned off.', '/Actuator/Heater/Kitchen/1 is turned off.', '/Actuator/Heater/Bathroom/1 is turned off.', '/Actuator/AC/LivingRoom/1 is turned off.', '/Actuator/AC/Bedroom/1 is turned off.', '/Actuator/CoffeeMachine/Kitchen/1 is turned off.', '/Actuator/SmartTV/LivingRoom/1 is turned off.']",/Users/minghe/llm4faas/experiments_default/functions_en/gpt-4o_en_functions/plans/openai_gpt-4o_plan_19.log
,openai_gpt-4o,plan,25,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/gpt-4o_en_functions/plans/openai_gpt-4o_plan_25.log
,openai_gpt-4o,plan,24,0.9583,Warning Exists,['/Sensor/LightIntensiveSensor/LivingRoom/1 reading is: || /Sensor/LightIntensiveSensor/Bedroom/1 reading is:'],/Users/minghe/llm4faas/experiments_default/functions_en/gpt-4o_en_functions/plans/openai_gpt-4o_plan_24.log
,openai_gpt-4o,plan,18,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/gpt-4o_en_functions/plans/openai_gpt-4o_plan_18.log
,openai_gpt-4o,plan,26,0.6667,No Error & Warning,['temp control logic is incorrect'],/Users/minghe/llm4faas/experiments_default/functions_en/gpt-4o_en_functions/plans/openai_gpt-4o_plan_26.log
,openai_gpt-4o,plan,16,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/gpt-4o_en_functions/plans/openai_gpt-4o_plan_16.log
,openai_gpt-4o,plan,2,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/gpt-4o_en_functions/plans/openai_gpt-4o_plan_2.log
,openai_gpt-4o,plan,3,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/gpt-4o_en_functions/plans/openai_gpt-4o_plan_3.log
,openai_gpt-4o,plan,17,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/gpt-4o_en_functions/plans/openai_gpt-4o_plan_17.log
,openai_gpt-4o,plan,15,0.0000,Invalid Prompt,,/Users/minghe/llm4faas/experiments_default/functions_en/gpt-4o_en_functions/plans/openai_gpt-4o_plan_15.log
,openai_gpt-4o,plan,1,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/gpt-4o_en_functions/plans/openai_gpt-4o_plan_1.log
,openai_gpt-4o,plan,14,0.0000,Invalid Prompt,,/Users/minghe/llm4faas/experiments_default/functions_en/gpt-4o_en_functions/plans/openai_gpt-4o_plan_14.log
,openai_gpt-4o,plan,10,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/gpt-4o_en_functions/plans/openai_gpt-4o_plan_10.log
,openai_gpt-4o,plan,4,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/gpt-4o_en_functions/plans/openai_gpt-4o_plan_4.log
